Year,FIPSST,Medi_or_Behav_Treat%,Medi_Treat%,Behav_Treat%,Medi&Behav_Treat%
2017,25,78.78787878787878,48.484848484848484,51.515151515151516,21.21212121212121
2017,26,73.68421052631578,57.89473684210527,47.368421052631575,31.57894736842105
2017,27,80.48780487804879,65.85365853658537,51.21951219512195,36.58536585365854
2017,28,74.24242424242425,63.63636363636363,40.909090909090914,30.303030303030305
2017,29,63.63636363636363,61.36363636363637,29.545454545454547,27.27272727272727
2017,30,68.88888888888889,57.77777777777777,42.22222222222222,31.11111111111111
2017,31,76.0,60.0,44.0,28.000000000000004
2017,32,71.42857142857143,35.714285714285715,46.42857142857143,10.714285714285714
2017,33,78.26086956521739,63.04347826086957,56.52173913043478,41.30434782608695
2017,34,77.5,55.00000000000001,50.0,27.500000000000004
2017,35,74.19354838709677,61.29032258064516,32.25806451612903,19.35483870967742
2017,36,65.71428571428571,60.0,40.0,34.285714285714285
2017,37,80.85106382978722,65.95744680851064,44.680851063829785,29.78723404255319
2017,38,78.78787878787878,69.6969696969697,48.484848484848484,39.39393939393939
2017,39,74.46808510638297,63.829787234042556,42.5531914893617,31.914893617021278
2017,40,83.72093023255815,74.4186046511628,34.883720930232556,25.581395348837212
2017,41,68.29268292682927,39.02439024390244,56.09756097560976,26.82926829268293
2017,42,80.48780487804879,63.41463414634146,51.21951219512195,34.146341463414636
2017,44,70.27027027027027,56.75675675675676,43.24324324324324,29.72972972972973
2017,45,67.3469387755102,51.02040816326531,26.53061224489796,10.204081632653061
2017,46,75.86206896551724,65.51724137931035,55.172413793103445,44.827586206896555
2017,47,55.10204081632652,42.857142857142854,28.57142857142857,16.3265306122449
2017,48,70.27027027027027,64.86486486486487,27.027027027027028,21.62162162162162
2017,49,75.0,66.66666666666666,41.66666666666667,33.33333333333333
2017,50,56.41025641025641,38.46153846153847,35.8974358974359,17.94871794871795
2017,51,63.63636363636363,56.81818181818182,34.090909090909086,27.27272727272727
2017,53,45.45454545454545,30.303030303030305,30.303030303030305,15.151515151515152
2017,54,67.3913043478261,54.347826086956516,32.608695652173914,19.565217391304348
2017,55,64.28571428571429,64.28571428571429,32.142857142857146,32.142857142857146
2017,56,78.04878048780488,60.97560975609756,58.536585365853654,41.46341463414634
2018,1,72.97297297297297,63.51351351351351,37.83783783783784,28.37837837837838
2018,2,78.84615384615384,57.692307692307686,50.0,28.846153846153843
2018,4,76.0,60.0,57.99999999999999,42.0
2018,5,74.15730337078652,57.30337078651685,42.69662921348314,25.842696629213485
2018,6,70.73170731707317,46.34146341463415,39.02439024390244,14.634146341463413
2018,8,68.88888888888889,51.11111111111111,40.0,22.22222222222222
